config_tag,marker,class,hemisphere,region,n_slices,mean_density,sd_density,min_density,max_density,cv,total_count
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: DG-mo,5,2292.3922,75.26133067983842,2192.314,2391.089,0.03283091378510118,5118
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: DG-po,5,4281.6272,690.8423727480822,3178.788,4919.697,0.16135042601282107,974
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: DG-sg,5,3911.8012000000003,208.70162238636286,3643.373,4164.825,0.05335179670847354,3125
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: DORpm,5,3231.9507999999996,774.7854801696401,2430.168,4402.2,0.23972687955820374,39829
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: DORsm,4,3872.801,231.90830418220645,3532.785,4054.406,0.059881285969045774,23181
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ECT,2,3133.944,203.1673345840813,2990.283,3277.605,0.0648280041328375,2454
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ECT1,2,1753.9279999999999,309.9998555128698,1534.725,1973.131,0.17674605543264593,198
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ECT2/3,2,2924.157,115.34750078783674,2842.594,3005.72,0.039446411662519054,660
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ECT5,2,3448.666,103.74670693569027,3375.306,3522.026,0.030083141404731645,893
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ECT6a,2,3830.197,393.0566180310414,3552.264,4108.13,0.10262047044343708,633
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ECT6b,2,4467.216,510.2015842566551,4106.449,4827.983,0.11421018913270706,70
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ENT,1,2982.173,,2982.173,2982.173,,75
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ENTl,1,2982.173,,2982.173,2982.173,,75
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ENTl1,1,1199.353,,1199.353,1199.353,,3
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ENTl2,1,3652.31,,3652.31,3652.31,,19
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ENTl3,1,2644.594,,2644.594,2644.594,,35
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ENTl5,1,4297.767,,4297.767,4297.767,,11
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ENTl6a,1,4237.561,,4237.561,4237.561,,7
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: EP,5,2790.7599999999998,1572.299866434199,0.0,3660.421,0.563394869653499,4148
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: EPI,3,5115.4293333333335,659.9208880769977,4436.067,5754.018,0.1290059631508931,2712
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: EPd,5,3660.8864000000003,415.73931637782334,3102.133,4030.428,0.11356247393467968,2708
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: EPv,4,3693.88575,856.3646680071033,3204.445,4975.022,0.23183301432836773,1985
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: Eth,3,3588.15,312.1888304728405,3241.686,3847.602,0.08700551272183173,1000
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: FC,2,4039.9134999999997,1565.9141298885131,2932.645,5147.182,0.38761080649090957,319
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: FS,2,3599.422,121.95187812411935,3513.189,3685.655,0.03388096147773708,1909
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: GENd,3,4248.316,179.7474750003458,4064.868,4424.119,0.042310288359045274,3549
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: GENv,3,3239.9689999999996,2808.3604456481366,0.0,4977.593,0.8667862086483349,1625
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: GPe,4,1994.9862500000002,2306.075436218913,0.0,4120.493,1.1559355039258608,1579
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: GPi,3,2482.416333333333,2153.6367895028943,0.0,3851.524,0.8675566465561556,2144
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: GU,2,3931.9425,103.45184340793539,3858.791,4005.094,0.02631061960034649,880
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: GU1,1,1797.276,,1797.276,1797.276,,22
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: GU2/3,2,1485.431,2100.716666169429,0.0,2970.862,1.4142135623730951,80
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: GU4,2,1136.3245,1607.005519156826,0.0,2272.649,1.4142135623730951,23
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: GU5,2,3522.147,601.4240158839683,3096.876,3947.418,0.1707549446073569,273
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: GU6a,2,4557.842500000001,180.31576473647596,4430.34,4685.345,0.03956164890218913,437
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: GU6b,2,5207.584,578.2761682950461,4798.681,5616.487,0.11104500057897215,45
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: HIP,5,2743.0932000000003,182.87318733264317,2515.119,2934.621,0.06666677870538382,31407
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: HPF,5,2655.1456000000003,346.3914289908168,2082.41,2934.514,0.13046042710080258,34338
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: HY,5,3442.1664000000005,1098.3244771147095,1992.116,4643.154,0.3190794254207784,27714
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: IA,2,4217.978,606.7032751123071,3788.974,4646.982,0.14383746788444773,958
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: IAD,2,4250.531,143.22447852933468,4149.256,4351.806,0.033695667324702416,446
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: IB,5,1979.2256000000002,619.3985948840212,1211.757,2694.114,0.31294997138477854,59152
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: IGL,2,5225.777,563.7097686026029,4827.174,5624.38,0.10787099575864086,369
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: IIIn,2,0.0,0.0,0.0,0.0,,0
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: IIn,5,1332.3904,1396.7049711214247,0.0,2975.666,1.0482700649309877,2295
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: ILM,4,4114.359,225.0065603176939,3877.366,4403.541,0.054688120389517265,6691
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: IMD,3,3452.5823333333333,174.8651384534189,3257.14,3594.23,0.05064763749879744,747
sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,DAPI,DAPI+,Left,Left: In,4,951.78775,1903.5755,0.0,3807.151,2.0,296
