slice,config_tag,region,hemisphere,is_leaf,marker,class,count,density
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: RSPv1","Left",true,TdT,TdT+,37,487.761
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: RSPagl6b","Left",true,DAPI,DAPI+,42,4005.493
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: RSPagl6b","Left",true,TdT,TdT+,0,0.000
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: VISam2/3","Right",true,DAPI,DAPI+,625,4785.644
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: VISam2/3","Right",true,TdT,TdT+,34,260.339
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: AIp6b","Right",true,DAPI,DAPI+,0,0.000
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: AIp6b","Right",true,TdT,TdT+,0,0.000
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: GU6b","Left",true,DAPI,DAPI+,16,4798.681
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: GU6b","Left",true,TdT,TdT+,0,0.000
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: VISrl6a","Right",true,DAPI,DAPI+,1,5110.194
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: VISrl6a","Right",true,TdT,TdT+,0,0.000
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: BS","Left",false,DAPI,DAPI+,5092,1211.757
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: BS","Left",false,TdT,TdT+,436,103.756
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: dhc","Left",true,DAPI,DAPI+,509,4645.612
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: dhc","Left",true,TdT,TdT+,7,63.889
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: HPF","Right",false,DAPI,DAPI+,6618,2671.643
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: HPF","Right",false,TdT,TdT+,319,128.778
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: alv","Left",true,DAPI,DAPI+,545,3423.108
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: alv","Left",true,TdT,TdT+,7,43.967
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: RSPv1","Right",true,DAPI,DAPI+,301,3542.740
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Right: RSPv1","Right",true,TdT,TdT+,34,400.177
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: RSPagl5","Left",true,DAPI,DAPI+,302,3318.159
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: RSPagl5","Left",true,TdT,TdT+,14,153.822
wBA1-2_2-1_s5_MIP.ome.tiff - wBA1-2_2-1_s5,sigma2.0_nPeak2_prom500_min20.0_max250.0_exp5.0,"Left: ccs","Left",false,DAPI,DAPI+,1971,4708.838
